idx,ENCODED_ID
318,rn_A18_4
319,rn_A18_5
320,rn_A18_6
321,rn_A18_7
322,rn_A18_8
323,rn_A18_9
324,rn_A19_1
325,rn_A19_10
326,rn_A19_11
327,rn_A19_12
328,rn_A19_13
329,rn_A19_14
330,rn_A19_15
331,rn_A19_16
332,rn_A19_17
333,rn_A19_18
334,rn_A19_19
335,rn_A19_2
336,rn_A19_20
337,rn_A19_21
338,rn_A19_22
339,rn_A19_23
340,rn_A19_24
341,rn_A19_25
342,rn_A19_26
343,rn_A19_27
344,rn_A19_28
345,rn_A19_29
346,rn_A19_3
347,rn_A19_30
348,rn_A19_31
349,rn_A19_32
350,rn_A19_33
351,rn_A19_34
352,rn_A19_35
353,rn_A19_36
354,rn_A19_4
355,rn_A19_5
356,rn_A19_6
357,rn_A19_7
358,rn_A19_8
359,rn_A19_9
360,rn_A1_1
361,rn_A1_10
362,rn_A1_11
363,rn_A1_12
364,rn_A1_13
365,rn_A1_14
366,rn_A1_15
367,rn_A1_16
368,rn_A1_17
369,rn_A1_18
370,rn_A1_19
371,rn_A1_2
372,rn_A1_20
373,rn_A1_21
374,rn_A1_22
375,rn_A1_23
376,rn_A1_24
377,rn_A1_25
378,rn_A1_26
379,rn_A1_27
380,rn_A1_28
381,rn_A1_29
382,rn_A1_3
383,rn_A1_30
384,rn_A1_31
385,rn_A1_32
386,rn_A1_33
387,rn_A1_34
388,rn_A1_4
389,rn_A1_5
390,rn_A1_6
391,rn_A1_7
392,rn_A1_8
393,rn_A1_9
394,rn_A20_1
395,rn_A20_10
396,rn_A20_11
397,rn_A20_12
398,rn_A20_13
399,rn_A20_14
400,rn_A20_15
401,rn_A20_16
402,rn_A20_17
403,rn_A20_18
404,rn_A20_19
405,rn_A20_2
406,rn_A20_20
407,rn_A20_21
408,rn_A20_22
409,rn_A20_23
410,rn_A20_24
411,rn_A20_25
412,rn_A20_26
413,rn_A20_27
414,rn_A20_28
415,rn_A20_29
416,rn_A20_3
417,rn_A20_30
418,rn_A20_31
419,rn_A20_32
420,rn_A20_33
421,rn_A20_34
422,rn_A20_4
423,rn_A20_5
424,rn_A20_6
425,rn_A20_7
426,rn_A20_8
427,rn_A20_9
428,rn_A2_1
429,rn_A2_10
430,rn_A2_11
431,rn_A2_12
432,rn_A2_13
433,rn_A2_14
434,rn_A2_15
435,rn_A2_16
436,rn_A2_17
437,rn_A2_18
438,rn_A2_19
439,rn_A2_2
440,rn_A2_20
441,rn_A2_21
442,rn_A2_22
443,rn_A2_23
444,rn_A2_24
445,rn_A2_25
